འཕགས་པ་བྱམས་པས་ཞུས་པ་ཞེས་བྱ་བ་	The Question of Maitreya
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
དགུ་གང་ཞེ་ན།	What nine qualities?
འདི་ལྟ་སྟེ། བྱམས་པ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་ནི་འདོད་པ་དག་ལས་དབེན་པ།	“Maitreya, that bodhisattva distances himself from desires and from sinful,
སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ལས་དབེན་པ།	non-virtuous things.
རྟོག་པ་དང་བཅས་པ།	He investigates,
དཔྱོད་པ་དང་བཅས་པ།	examines,
དབེན་པ་ལས་སྐྱེས་པའི་དགའ་བ་དང་	and possesses the joy and happiness that arise from solitude.
བདེ་བ་ཅན་བསམ་གཏན་དང་པོ་བསྒྲུབས་ཏེ་གནས་སོ།	Thus, he accomplishes the first meditative absorption and maintains it.
།རྟོག་པ་དང་དཔྱོད་པ་དང་བྲལ་ཞིང་ནང་རབ་ཏུ་དང་སྟེ།	
སེམས་ཀྱི་རྒྱུད་གཅིག་ཏུ་གྱུར་པས་རྟོག་པ་མེད་པ།	
དཔྱོད་པ་མེད་པ།	
ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བ་དང་བདེ་བ་ཅན་བསམ་གཏན་གཉིས་པ་བསྒྲུབས་ཏེ་གནས་སོ།	
།དགའ་བའི་འདོད་ཆགས་དང་བྲལ་བས།	
བཏང་སྙོམས་ལ་གནས་ཤིང་དྲན་པ་དང་ཤེས་བཞིན་ཅན་ཡིན་ཏེ།	
བདེ་བ་ལུས་ཀྱིས་མྱོང་ལ།	
འཕགས་པ་རྣམས་ཀྱིས་གང་དེ་དྲན་པ་དང་ལྡན་པ་བདེ་བ་ལ་གནས་པ་བཏང་སྙོམས་པའོ།	
།ཞེས་བརྗོད་པ་སྟེ།	The preceding passage is also found there.
དགའ་བ་མེད་པ་བསམ་གཏན་གསུམ་པ་བསྒྲུབས་ཏེ་གནས་སོ།	Free of joy he then accomplishes the third meditative absorption and maintains it.
།བདེ་བ་ཡང་སྤངས་ཏེ།	“He renounces happiness after already renouncing suffering.
སྔ་ནས་སྡུག་བསྔལ་ཡང་སྤངས་ཤིང་ཡིད་བདེ་བ་དང་ཡིད་མི་བདེ་བ་ཡང་ནུབ་པས་བདེ་བ་ཡང་མ་ཡིན།སྡུག་བསྔལ་བ་ཡང་མ་ཡིན་པ།	Because both mental happiness and mental displeasure decline, there is neither happiness nor suffering.
བཏང་སྙོམས་དང་དྲན་པ་ཡོངས་སུ་དག་པ་བསམ་གཏན་བཞི་པ་བསྒྲུབས་ཏེ་གནས་སོ།	He then accomplishes the fourth meditative absorption and maintains it, with immaculate equipoise and mindfulness.
།རྣམ་པ་ཐམས་ཅད་དུ་གཟུགས་ཀྱི་འདུ་ཤེས་རྣམས་ལས་ཡང་དག་པར་འདས་ཏེ།	“He transcends conceptions of form in all aspects, and his conceptions of materiality decline.
ཐོགས་པའི་འདུ་ཤེས་རྣམས་ནུབ་པར་གྱུར་ཅིང་སྣ་ཚོགས་ཀྱི་འདུ་ཤེས་རྣམས་ཡིད་ལ་མི་བྱེད་པས་ནམ་མཁའ་མཐའ་ཡས་སོ་སྙམ་ནས་ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་སོ།	When he does not fabricate conceptions of any kind, he thinks, ‘This is the infinity of space,’ and then accomplishes the sphere of the infinity of space and maintains it.
།རྣམ་པ་ཐམས་ཅད་དུ་ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ།རྣམ་པར་ཤེས་པ་མཐའ་ཡས་སོ་སྙམ་ནས་རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་སོ།	After he has transcended the sphere of the infinity of space in all aspects, he thinks, ‘This is the infinity of consciousness,’ and then accomplishes the sphere of the infinity of consciousness and maintains it.
།རྣམ་པ་ཐམས་ཅད་དུ་རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ།	After he has transcended the sphere of the infinity of consciousness in all aspects,
ཅི་ཡང་མེད་དོ་སྙམ་ནས་ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་སོ།	he thinks, ‘This is nothingness,’ and then accomplishes the sphere of nothingness and maintains it.
།རྣམ་པ་ཐམས་ཅད་དུ་ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ནས་འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་སོ།	After he has transcended the sphere of nothingness in all aspects, he then accomplishes the sphere of neither perception nor non-perception and maintains it.
།རྣམ་པ་ཐམས་ཅད་དུ་འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ནས་	After he has transcended the sphere of neither perception nor non-perception in all aspects,
འདུ་ཤེས་དང་ཚོར་བ་འགོག་པ་བསྒྲུབས་ནས་གནས་པ་སྟེ།	he then accomplishes the cessation of perception and feeling and maintains it.This is a fifth accomplishment sometimes added to the four formless absorptions.
བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་དགུ་པོ་དེ་དག་དང་ལྡན་ན་	if a bodhisattva possesses these nine qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	and not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
།བྱམས་པ་	Maitreya,
གཞན་ཡང་	“Furthermore,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཅུ་དང་ལྡན་ན་	if a bodhisattva possesses ten qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	and not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ།	but swiftly realize supreme, perfect enlightenment and become a buddha.
བཅུ་གང་ཞེ་ན།	What ten qualities?
འདི་ལྟ་སྟེ། རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	Having vajra-like meditative concentration,
གནས་དང་གནས་མ་ཡིན་པ་ལ་མངོན་པར་བརྩོན་པའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	meditative concentration that is assiduous regarding what is correct and incorrect,
ཐབས་ཀྱིས་འགྲོ་བའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	meditative concentration of going via methods,
རྣམ་པར་སྣང་བྱེད་ཀྱི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	illuminating meditative concentration,
ཀུན་ནས་སྣང་བའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	all-illuminating meditative concentration,
ཀུན་དུ་གསལ་བའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	manifest meditative concentration,
རིན་ཆེན་ཟླ་བའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	precious moon meditative concentration,
ཟླ་བ་སྒྲོན་མའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	moon-lamp meditative concentration,
ཉོན་མོངས་པ་མེད་པའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན།	meditative concentration without afflictive emotions,
རྒྱལ་མཚན་གྱི་རྩེ་མོའི་དཔུང་རྒྱན་གྱི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་ཡིན་ཏེ།	and victory-banner finial meditative concentration.
བྱམས་པ་	Maitreya,
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་	if a bodhisattva possesses these ten qualities,
ངན་སོང་ཐམས་ཅད་སྤོང་ཞིང་	he will abandon all evil rebirths
སྡིག་པའི་གྲོགས་པོའི་ལག་ཏུ་མི་འགྲོ་ལ་	and not fall into the clutches of sinful associates,
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ།	but swiftly realize supreme, perfect enlightenment and become a buddha.”
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཏེ་	The bodhisattva mahāsattva Maitreya was then satisfied and delighted.
རབ་ཏུ་དགའ་ནས་དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ཏེ།	Joyful and pleased,
སྟན་ལས་ལངས་ནས་	he rose from his seat,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ་	draped his shawl over one shoulder,
པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ནས།	set his right knee on the ground,
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ།	and bowed to the Blessed One with joined palms.
བཅོམ་ལྡན་འདས་ལ་ཚུལ་དང་འདྲ་བའི་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་མངོན་པར་བསྟོད་དོ།	He praised the Blessed One with these fitting verses:
